timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610551517519,639,-5,200,OK,jp@gc - Ultimate Thread Group 1-100,text,true,,1410,338,3,3,https://blazedemo.com/,627,0,396
1610551517739,549,-5,200,OK,jp@gc - Ultimate Thread Group 1-99,text,true,,1515,338,3,3,https://blazedemo.com/,531,0,179
1610551518160,235,-6,200,OK,jp@gc - Ultimate Thread Group 1-100,text,true,,1573,517,4,4,https://blazedemo.com/reserve.php,233,0,0
1610551518040,402,-5,200,OK,jp@gc - Ultimate Thread Group 1-98,text,true,,1386,338,4,4,https://blazedemo.com/,402,0,49
1610551518289,239,-6,200,OK,jp@gc - Ultimate Thread Group 1-99,text,true,,1619,517,4,4,https://blazedemo.com/reserve.php,236,0,0
1610551518336,469,-5,200,OK,jp@gc - Ultimate Thread Group 1-97,text,true,,1499,338,5,5,https://blazedemo.com/,417,0,46
1610551518442,406,-6,200,OK,jp@gc - Ultimate Thread Group 1-98,text,true,,1403,517,5,5,https://blazedemo.com/reserve.php,406,0,0
1610551518528,331,-7,200,OK,jp@gc - Ultimate Thread Group 1-99,text,true,,1844,575,5,5,https://blazedemo.com/purchase.php,331,0,0
1610551518396,472,-7,200,OK,jp@gc - Ultimate Thread Group 1-100,text,true,,1729,575,5,5,https://blazedemo.com/purchase.php,471,0,0
1610551518869,143,-9,200,OK,jp@gc - Ultimate Thread Group 1-100,text,true,,1115,372,6,6,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/ms-language-packs/records/cfr-v1-en-GB,143,0,110
1610551518861,151,-9,200,OK,jp@gc - Ultimate Thread Group 1-99,text,true,,1115,372,6,6,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/ms-language-packs/records/cfr-v1-en-GB,151,0,119
1610551519012,42,-10,200,OK,jp@gc - Ultimate Thread Group 1-100,text,true,,1115,372,6,6,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/ms-language-packs/records/cfr-v1-en-GB,42,0,0
1610551519012,43,-10,200,OK,jp@gc - Ultimate Thread Group 1-99,text,true,,1115,372,6,6,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/ms-language-packs/records/cfr-v1-en-GB,43,0,0
1610551519056,15,-8,200,OK,jp@gc - Ultimate Thread Group 1-99,text,true,,1115,372,6,6,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/ms-language-packs/records/cfr-v1-en-GB,15,0,0
1610551519055,16,-8,200,OK,jp@gc - Ultimate Thread Group 1-100,text,true,,1115,372,6,6,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/ms-language-packs/records/cfr-v1-en-GB,16,0,0
1610551518807,300,-6,200,OK,jp@gc - Ultimate Thread Group 1-97,text,true,,1584,517,6,6,https://blazedemo.com/reserve.php,299,0,0
1610551518849,308,-7,200,OK,jp@gc - Ultimate Thread Group 1-98,text,true,,1617,575,6,6,https://blazedemo.com/purchase.php,307,0,0
1610551518638,519,-5,200,OK,jp@gc - Ultimate Thread Group 1-96,text,true,,1452,338,6,6,https://blazedemo.com/,518,0,175
1610551519158,41,-9,200,OK,jp@gc - Ultimate Thread Group 1-98,text,true,,1115,372,6,6,https://firefox.settings.services.mozilla.com/v1/buckets/main/collections/ms-language-packs/records/cfr-v1-en-GB,41,0,32
